# Indice des prix à la consommation (IPC) — INSEE
# Série 011814630 : base 100 en 2025, ensemble des ménages, France, ensemble (Coicop 00).
# Source : https://www.insee.fr/fr/statistiques/serie/011814630 (banque de données
# macroéconomiques, série mensuelle, données brutes). Relevée le 2026-09-13.
# Du 2015-01 au 2026-08, un point par mois, valeur avec deux décimales.
# Yieldo ne contacte jamais l'INSEE : ce fichier est embarqué et mis à jour à la main.
month;value
2015-01;81.74
2015-02;82.28
2015-03;82.82
2015-04;82.91
2015-05;83.11
2015-06;83.05
2015-07;82.70
2015-08;82.97
2015-09;82.64
2015-10;82.68
2015-11;82.53
2015-12;82.71
2016-01;81.92
2016-02;82.13
2016-03;82.70
2016-04;82.75
2016-05;83.09
2016-06;83.20
2016-07;82.89
2016-08;83.16
2016-09;82.96
2016-10;82.98
2016-11;82.97
2016-12;83.22
2017-01;83.01
2017-02;83.11
2017-03;83.65
2017-04;83.72
2017-05;83.76
2017-06;83.77
2017-07;83.48
2017-08;83.91
2017-09;83.78
2017-10;83.86
2017-11;83.94
2017-12;84.21
2018-01;84.13
2018-02;84.10
2018-03;84.95
2018-04;85.09
2018-05;85.46
2018-06;85.47
2018-07;85.39
2018-08;85.80
2018-09;85.62
2018-10;85.71
2018-11;85.53
2018-12;85.55
2019-01;85.16
2019-02;85.21
2019-03;85.90
2019-04;86.17
2019-05;86.26
2019-06;86.46
2019-07;86.30
2019-08;86.70
2019-09;86.40
2019-10;86.36
2019-11;86.41
2019-12;86.79
2020-01;86.43
2020-02;86.43
2020-03;86.47
2020-04;86.44
2020-05;86.57
2020-06;86.64
2020-07;86.97
2020-08;86.89
2020-09;86.44
2020-10;86.41
2020-11;86.59
2020-12;86.78
2021-01;86.91
2021-02;86.91
2021-03;87.43
2021-04;87.52
2021-05;87.80
2021-06;87.92
2021-07;87.97
2021-08;88.50
2021-09;88.31
2021-10;88.67
2021-11;89.00
2021-12;89.17
2022-01;89.39
2022-02;90.07
2022-03;91.35
2022-04;91.75
2022-05;92.36
2022-06;93.06
2022-07;93.32
2022-08;93.74
2022-09;93.21
2022-10;94.17
2022-11;94.47
2022-12;94.38
2023-01;94.75
2023-02;95.73
2023-03;96.56
2023-04;97.15
2023-05;97.10
2023-06;97.27
2023-07;97.32
2023-08;98.29
2023-09;97.78
2023-10;97.92
2023-11;97.75
2023-12;97.88
2024-01;97.72
2024-02;98.56
2024-03;98.77
2024-04;99.27
2024-05;99.30
2024-06;99.38
2024-07;99.56
2024-08;100.09
2024-09;98.85
2024-10;99.13
2024-11;98.98
2024-12;99.17
2025-01;99.33
2025-02;99.35
2025-03;99.53
2025-04;100.09
2025-05;99.96
2025-06;100.34
2025-07;100.55
2025-08;100.97
2025-09;99.99
2025-10;100.06
2025-11;99.88
2025-12;99.95
2026-01;99.62
2026-02;100.24
2026-03;101.21
2026-04;102.25
2026-05;102.38
2026-06;102.11
2026-07;102.68
2026-08;103.41
